Type,Rooms,Size,Location,Zip code,Price,Region,Bedrooms,Bathrooms,Equipped kitchen,Terrace/Balcony,Parking space,Ground,Garage,Pool,Cellar,Construction date,Construction materials,Website
Appartement,2 pièces,45,Torcy- Torcy 2,77200,189 000,ile-de-france,1,1,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-appartement-t2-torcy-77200-4306-009054-670/
Maison,5 pièces,112,Pommeuse,77515,329 000,ile-de-france,4,2,No,No,0,836,No,No,No,,,https://www.orpi.com/annonce-vente-maison-t5-pommeuse-77515-3324-012062-049/
Maison,4 pièces,120,Menucourt,95180,315 000,ile-de-france,3,1,No,No,0,757,No,No,No,,,https://www.orpi.com/annonce-vente-maison-t4-menucourt-95180-2517-bocaly-prudhomme-084042-578/
Maison,5 pièces,114,Marly-la-Ville,95670,299 900,ile-de-france,4,1,No,No,0,309,No,No,No,,,https://www.orpi.com/annonce-vente-maison-t5-marly-la-ville-95670-4882-010065-139/
Appartement,4 pièces,81,Trappes- Jean Macé,78190,249 900,ile-de-france,3,1,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-appartement-t4-trappes-78190-517-behloul-vendu-007085-759/
Maison,5 pièces,127,Saint-Maur-des-Fossés- Parc de Saint-Maur,94100,1 050 000,ile-de-france,4,1,No,No,0,893,No,No,No,,,https://www.orpi.com/annonce-vente-maison-t5-saint-maur-des-fosses-94100-584-003045-168/
Maison,5 pièces,82,Ivry-sur-Seine- Monmousseau - Verollot,94200,460 000,ile-de-france,4,,No,No,0,300,No,No,No,,,https://www.orpi.com/annonce-vente-maison-t5-ivry-sur-seine-94200-467-002102-055/
Appartement,1 pièce,48,Arcueil- Jean Macé,94110,241 000,ile-de-france,1,1,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-appartement-t1-arcueil-94110-2048-002068-147/
Appartement,2 pièces,53,Paris 14- Alésia,75014,545 000,ile-de-france,1,,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-appartement-t2-paris-14-75014-2006-002068-899/
Appartement,3 pièces,82,Gif-sur-Yvette- Centre-ville - Mérantaise,91190,598 000,ile-de-france,2,,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-appartement-t3-gif-sur-yvette-91190-3236-098922-404/
Appartement,2 pièces,66,Le Chesnay- Glatigny - Rueil,78150,266 000,ile-de-france,2,1,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-appartement-t2-le-chesnay-78150-4884-007077-008/
Appartement,3 pièces,70,Versailles- Notre Dame,78000,499 000,ile-de-france,2,,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-appartement-t3-versailles-78000-4908-007077-112/
Appartement,6 pièces,137,Versailles- Montreuil,78000,967 000,ile-de-france,5,1,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-appartement-t6-versailles-78000-4989-007920-334/
Appartement,3 pièces,98,Charenton-le-Pont- Plateau de Gravelle,94220,932 500,ile-de-france,3,,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-appartement-t3-charenton-le-pont-94220-629-006084-328/
Appartement,1 pièce,47,Saint-Maurice- Ecluse,94410,330 000,ile-de-france,1,,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-appartement-t1-saint-maurice-94410-633-006084-233/
Appartement,4 pièces,96,Joinville-le-Pont- Centre-ville,94340,727 000,ile-de-france,3,1,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-appartement-t4-joinville-le-pont-94340-601-006084-975/
Maison,7 pièces,360,Saint-Maurice- Plateau,94410,2 691 000,ile-de-france,5,2,No,No,0,742,No,No,No,,,https://www.orpi.com/annonce-vente-maison-t7-saint-maurice-94410-589-006084-995/
Appartement,1 pièce,44,Charenton-le-Pont- Bercy,94220,280 000,ile-de-france,,,No,No,0,0,No,No,No,,,https://www.orpi.com/annonce-vente-appartement-t1-charenton-le-pont-94220-618-006084-186/
